ModelName,TimeKali,SizeKali,TimePMedici,SizePMedici,TimeActs,SizeActs
UNIFORM_BOOLEAN_42,2.11,13,1.89,18,0.3,10
UNIFORM_BOOLEAN_17,1.91,4,1.93,4,0.26,4
UNIFORM_BOOLEAN_11,2.01,11,1.9,12,0.29,10
UNIFORM_BOOLEAN_44,1.97,11,1.91,15,0.29,8
MCA_13,55.61,2940,22.47,2296,0.65,1921
MCA_46,13.29,1131,6.7,1051,0.5,920
BOOLC_30,2.43,41,2.1,38,8.18,12
UNIFORM_ALL_31,2.09,13,1.91,19,0.33,10
NUMC_6,4.35,1276,,,0.85,1280
UNIFORM_BOOLEAN_39,2.04,14,1.99,16,0.33,10
UNIFORM_ALL_35,63.94,1551,24.44,1250,0.55,361
UNIFORM_BOOLEAN_36,2.05,13,1.9,18,0.31,12
NUMC_2,7.93,546,,,0.63,574
BOOLC_37,1.98,2,1.9,2,0.83,2
MCA_14,18.09,1659,6.5,1592,0.44,1540
MCA_41,62.27,3025,30.81,2472,0.63,1817
UNIFORM_ALL_36,5.79,539,3.11,405,0.36,169
NUMC_1,22.56,2299,,,0.81,2155
UNIFORM_ALL_32,3.44,316,2.14,230,0.36,121
NUMC_5,2.07,14,,,0.52,8
UNIFORM_BOOLEAN_31,2.03,12,1.78,14,0.3,8
MCA_45,2.02,9,1.84,14,0.29,6
MCA_10,34.86,2568,11.6,2288,0.56,1850
MCA_32,20.71,1744,6.69,1686,0.46,1628
MCA_36,32.33,2448,13.37,2162,0.52,1776
BOOLC_49,1.98,6,1.88,5,0.58,5
NUMC_37,105.57,4172,,,1.42,2125
UNIFORM_ALL_3,5.82,416,2.9,325,0.36,121
UNIFORM_BOOLEAN_0,2.06,11,2.02,12,0.29,8
MCA_42,17.1,1231,8.18,1075,0.52,1047
MCA_17,5.62,563,3.18,509,0.41,482
UNIFORM_ALL_38,4.14,602,2.46,497,0.33,361
MCA_35,51.78,3016,18.8,2705,0.65,2165
NUMC_38,2.0,3,,,0.52,3
NUMC_30,5.74,1272,,,0.83,1269
MCA_31,6.0,540,2.25,539,0.32,539
UNIFORM_ALL_4,7.41,665,3.86,504,0.38,310
UNIFORM_BOOLEAN_7,2.0,10,1.95,13,0.28,8
BOOLC_9,2.27,28,1.9,46,0.91,11
UNIFORM_ALL_27,13.3,1130,5.41,829,0.49,450
UNIFORM_BOOLEAN_24,2.05,14,1.87,15,0.31,12
UNIFORM_ALL_23,20.67,1154,7.98,844,0.43,289
BOOLC_22,2.26,13,1.98,36,0.89,12
BOOLC_39,2.06,12,1.89,29,0.54,8
UNIFORM_ALL_20,44.21,1624,16.17,1252,0.7,672
UNIFORM_BOOLEAN_23,2.04,13,1.85,12,0.33,12
UNIFORM_ALL_24,15.2,888,6.55,668,0.49,381
UNIFORM_BOOLEAN_28,1.98,8,1.89,10,0.28,6
MCA_8,2.07,20,1.84,22,0.29,20
MCAC_44,2.34,25,1.93,86,0.59,86
BOOLC_25,2.15,4,1.93,12,0.89,6
MCAC_11,3.77,25,2.63,110,21.73,110
NUMC_47,2.36,70,,,0.59,70
NUMC_12,2.21,4,,,0.9,461
MCAC_40,2.95,44,2.04,85,0.69,85
BOOLC_21,2.13,3,1.95,8,1.3,6
UNIFORM_ALL_9,4.41,246,2.57,183,0.37,136
MCAC_47,2.12,6,1.69,7,0.59,6
MCAC_12,2.93,96,1.94,80,0.53,77
BOOLC_26,2.16,4,1.99,13,0.73,6
UNIFORM_ALL_19,3.82,149,2.27,109,0.34,79
BOOLC_29,2.14,9,1.98,16,0.73,6
MCAC_24,15.62,523,12.29,1799,1.02,1702
UNIFORM_BOOLEAN_3,2.02,12,1.9,12,0.28,10
MCAC_28,2.07,4,1.91,4,0.48,4
MCA_0,2.62,115,1.96,115,0.3,115
UNIFORM_BOOLEAN_4,2.05,11,1.85,10,0.31,8
MCAC_23,2.48,2,2.37,33,1.34,33
MCA_7,6.81,762,3.58,707,0.38,572
BOOLC_18,2.14,1,1.96,6,1.22,5
BOOLC_33,2.14,7,2.11,36,6.47,11
UNIFORM_BOOLEAN_9,2.06,6,1.97,7,0.28,4
BOOLC_34,2.24,24,2.16,36,1.59,11
BOOLC_4,2.17,13,1.95,37,0.84,11
UNIFORM_BOOLEAN_18,2.06,11,1.8,13,0.29,8
UNIFORM_ALL_14,3.97,430,2.37,329,0.33,169
MCAC_36,50.65,2287,60.08,1796,1.08,1599
UNIFORM_ALL_41,2.43,29,1.97,28,0.35,24
BOOLC_3,2.12,14,1.95,31,0.64,8
UNIFORM_ALL_13,2.41,79,1.92,64,0.31,48
UNIFORM_ALL_46,2.17,14,1.92,15,0.33,12
NUMC_31,2.13,2,,,0.74,315
BOOLC_8,2.03,8,1.86,30,0.67,8
UNIFORM_BOOLEAN_29,2.06,6,1.89,6,0.29,4
UNIFORM_ALL_25,2.14,23,1.93,21,0.3,15
UNIFORM_ALL_22,51.82,1554,18.91,1195,0.51,361
BOOLC_45,2.18,12,2.02,34,0.81,11
BOOLC_10,2.07,7,1.9,28,0.68,8
NUMC_23,12.77,1595,,,0.84,1595
UNIFORM_ALL_28,6.48,327,3.12,252,0.4,164
NUMC_28,34.39,540,,,1.15,3076
BOOLC_42,2.15,4,1.99,6,1.03,6
BOOLC_17,2.26,24,1.98,34,0.93,10
NUMC_24,112.11,16956,,,1.14,10670
NUMC_0,125.86,6849,,,300.14,0
MCAC_19,3.53,345,2.27,345,0.93,345
UNIFORM_ALL_37,2.43,225,1.89,225,0.33,225
UNIFORM_ALL_30,5.12,406,2.83,317,0.35,121
MCA_2,2.73,94,1.93,94,0.28,94
MCA_28,16.32,1412,4.91,1427,0.42,1300
MCA_5,116.47,4148,47.42,3841,0.67,2028
MCA_18,2.21,46,1.89,46,0.25,46
NUMC_9,96.17,5498,,,1.02,3939
MCA_39,3.49,222,2.1,222,0.32,222
NUMC_34,2.17,5,,,0.83,65
MCAC_4,20.25,692,36.24,2007,0.97,1365
NUMC_33,10.55,179,,,1.4,6623
MCAC_7,2.4,21,2.03,61,0.62,46
MCA_49,12.05,1108,5.15,1131,0.53,1104
MCAC_3,2.45,6,1.93,98,0.58,98
NUMC_16,2.49,58,,,0.69,76
MCA_4,27.69,1786,9.45,1846,0.58,1601
NUMC_11,3.03,2,,,4.51,80
NUMC_44,3.64,46,,,0.99,624
MCA_3,79.31,3711,30.27,3068,0.58,2108
NUMC_8,2.16,32,,,0.59,32
MCA_29,77.77,2938,35.79,2161,0.69,1935
MCAC_2,50.33,2671,20.64,2326,1.17,1671
NUMC_27,168.67,2064,,,28.58,2337
MCAC_5,93.12,3696,44.49,2717,204.95,2169
NUMC_20,134.63,8956,,,1.98,6713
MCA_38,50.24,3017,22.72,2629,0.55,2102
MCA_19,52.5,2545,26.83,2567,0.57,1813
NUMC_45,1.99,10,,,0.64,20
NUMC_10,21.02,30,,,3.98,16832
MCA_48,13.1,1395,4.96,1313,0.49,1312
NUMC_32,2.35,2,,,0.63,247
