ToolName;ModelName;Strength;TimeSeconds;Size;ErrorType;;;;
acts;MCAC_8;2;4.65;1447;;;;;
acts;UNIFORM_ALL_27;2;0.49;450;;;;;
acts;UNIFORM_BOOLEAN_24;2;0.31;12;;;;;
acts;UNIFORM_ALL_23;2;0.43;289;;;;;
acts;MCAC_43;2;300.16;0;Timeout;;;;
acts;MCAC_16;2;1.99;2570;;;;;
acts;BOOLC_22;2;0.89;12;;;;;
acts;NUMC_48;2;0.91;4;;;;;
acts;BOOLC_39;2;0.54;8;;;;;
acts;UNIFORM_ALL_20;2;0.7;672;;;;;
acts;UNIFORM_BOOLEAN_23;2;0.33;12;;;;;
acts;UNIFORM_ALL_24;2;0.49;381;;;;;
acts;UNIFORM_BOOLEAN_28;2;0.28;6;;;;;
acts;MCA_8;2;0.29;20;;;;;
acts;MCAC_44;2;0.59;86;;;;;
acts;BOOLC_25;2;0.89;6;;;;;
acts;MCAC_11;2;21.73;110;;;;;
acts;NUMC_47;2;0.59;70;;;;;
acts;NUMC_12;2;0.9;461;;;;;
acts;MCAC_40;2;0.69;85;;;;;
acts;BOOLC_21;2;1.3;6;;;;;
acts;MCAC_15;2;300.12;0;Timeout;;;;
acts;UNIFORM_ALL_9;2;0.37;136;;;;;
acts;NUMC_40;2;37.34;34;;;;;
acts;NUMC_15;2;0.82;1;;;;;
acts;NUMC_19;2;4.18;6595;;;;;
acts;MCAC_47;2;0.59;6;;;;;
acts;MCAC_12;2;0.53;77;;;;;
acts;BOOLC_26;2;0.73;6;;;;;
acts;UNIFORM_ALL_19;2;0.34;79;;;;;
acts;BOOLC_29;2;0.73;6;;;;;
acts;MCAC_24;2;1.02;1702;;;;;
acts;UNIFORM_BOOLEAN_3;2;0.28;10;;;;;
acts;MCAC_28;2;0.48;4;;;;;
acts;MCA_0;2;0.3;115;;;;;
acts;UNIFORM_BOOLEAN_4;2;0.31;8;;;;;
acts;MCAC_23;2;1.34;33;;;;;
acts;MCA_7;2;0.38;572;;;;;
acts;BOOLC_18;2;1.22;5;;;;;
acts;BOOLC_33;2;6.47;11;;;;;
acts;UNIFORM_BOOLEAN_9;2;0.28;4;;;;;
acts;BOOLC_34;2;1.59;11;;;;;
acts;BOOLC_4;2;0.84;11;;;;;
acts;UNIFORM_BOOLEAN_18;2;0.29;8;;;;;
acts;UNIFORM_ALL_14;2;0.33;169;;;;;
