FileName,Strength,SeedSize,UsedSeedSize,TSSize,TSTime,cRnd,cInc,totTuples
UNIFORM_ALL_0,4,52,52,193,29.0,25.0,10.0,2835
UNIFORM_ALL_0,4,53,52,194,29.0,26.0,10.0,2835
UNIFORM_ALL_0,4,54,53,205,31.0,24.0,10.0,2835
UNIFORM_ALL_0,4,55,55,204,30.0,25.0,9.0,2835
UNIFORM_ALL_0,4,56,56,195,28.0,25.0,9.0,2835
UNIFORM_ALL_0,4,57,56,194,29.0,26.0,9.0,2835
UNIFORM_ALL_0,4,58,57,203,29.0,24.0,9.0,2835
UNIFORM_ALL_0,4,59,58,202,30.0,24.0,9.0,2835
UNIFORM_ALL_0,4,60,59,194,29.0,26.0,9.0,2835
UNIFORM_ALL_0,4,61,60,197,28.0,25.0,9.0,2835
UNIFORM_ALL_0,4,62,62,201,29.0,24.0,9.0,2835
UNIFORM_ALL_0,4,63,62,200,30.0,24.0,9.0,2835
UNIFORM_ALL_0,4,64,63,196,28.0,24.0,9.0,2835
UNIFORM_ALL_0,4,65,65,198,28.0,25.0,8.0,2835
UNIFORM_ALL_0,4,66,66,199,31.0,24.0,9.0,2835
UNIFORM_ALL_0,4,67,67,202,31.0,23.0,9.0,2835
UNIFORM_ALL_0,4,68,65,197,30.0,24.0,9.0,2835
UNIFORM_ALL_0,4,69,68,198,28.0,24.0,9.0,2835
UNIFORM_ALL_0,4,70,70,199,28.0,23.0,9.0,2835
UNIFORM_ALL_0,4,71,70,195,29.0,23.0,9.0,2835
UNIFORM_ALL_0,4,72,72,199,30.0,23.0,8.0,2835
UNIFORM_ALL_0,4,73,72,199,30.0,23.0,9.0,2835
UNIFORM_ALL_0,4,74,73,202,34.0,23.0,8.0,2835
UNIFORM_ALL_0,4,75,75,205,33.0,23.0,8.0,2835
UNIFORM_ALL_0,4,76,74,204,31.0,23.0,8.0,2835
UNIFORM_ALL_0,4,77,77,205,30.0,23.0,8.0,2835
UNIFORM_ALL_0,4,78,77,198,31.0,23.0,8.0,2835
UNIFORM_ALL_0,4,79,77,199,30.0,22.0,9.0,2835
