ModelName,TimeKali,SizeKali,TimePMedici,SizePMedici,TimeActs,SizeActs
NUMC_24,198.08,16533,,,1.14,10670
MCAC_19,3.83,345,2.27,345,0.93,345
UNIFORM_ALL_37,2.64,225,1.89,225,0.33,225
UNIFORM_ALL_30,6.26,427,2.83,317,0.35,121
MCA_2,3.0,94,1.93,94,0.28,94
MCA_28,18.69,1413,4.91,1427,0.42,1300
MCA_5,178.4,4562,47.42,3841,0.67,2028
MCA_18,2.27,46,1.89,46,0.25,46
MCA_39,4.25,222,2.1,222,0.32,222
MCA_49,14.2,1115,5.15,1131,0.53,1104
MCA_4,36.42,1773,9.45,1846,0.58,1601
MCA_3,106.9,3755,30.27,3068,0.58,2108
MCA_29,116.26,2939,35.79,2161,0.69,1935
MCAC_2,68.37,2655,20.64,2326,1.17,1671
MCAC_5,102.69,3565,44.49,2717,204.95,2169
NUMC_20,225.59,8818,,,1.98,6713
MCA_38,67.97,3041,22.72,2629,0.55,2102
MCA_19,74.26,2546,26.83,2567,0.57,1813
MCA_48,14.33,1399,4.96,1313,0.49,1312
