fileName;size;time
ADD_BOOLC_1.ctw;11;90581.0
ADD_BOOLC_1.ctw;11;100410.0
ADD_BOOLC_1.ctw;11;82525.0
ADD_BOOLC_1.ctw;11;80524.0
ADD_BOOLC_1.ctw;11;80941.0
ADD_BOOLC_1.ctw;11;80983.0
ADD_BOOLC_1.ctw;11;81498.0
ADD_BOOLC_1.ctw;11;81379.0
ADD_BOOLC_1.ctw;11;83398.0
ADD_BOOLC_1.ctw;11;81112.0
UNIFORM_ALL_1.ctw;465;79.0
UNIFORM_ALL_1.ctw;465;82.0
UNIFORM_ALL_1.ctw;465;93.0
UNIFORM_ALL_1.ctw;465;75.0
UNIFORM_ALL_1.ctw;465;74.0
UNIFORM_ALL_1.ctw;465;68.0
UNIFORM_ALL_1.ctw;465;42.0
UNIFORM_ALL_1.ctw;465;51.0
UNIFORM_ALL_1.ctw;465;42.0
UNIFORM_ALL_1.ctw;465;41.0
MCA_3.ctw;63;1.0
MCA_3.ctw;63;1.0
MCA_3.ctw;63;1.0
MCA_3.ctw;63;1.0
MCA_3.ctw;63;1.0
MCA_3.ctw;63;1.0
MCA_3.ctw;63;1.0
MCA_3.ctw;63;1.0
MCA_3.ctw;63;1.0
MCA_3.ctw;63;1.0
UNIFORM_BOOLEAN_3.ctw;12;1.0
UNIFORM_BOOLEAN_3.ctw;12;1.0
UNIFORM_BOOLEAN_3.ctw;12;1.0
UNIFORM_BOOLEAN_3.ctw;12;1.0
UNIFORM_BOOLEAN_3.ctw;12;1.0
UNIFORM_BOOLEAN_3.ctw;12;1.0
UNIFORM_BOOLEAN_3.ctw;12;1.0
UNIFORM_BOOLEAN_3.ctw;12;1.0
UNIFORM_BOOLEAN_3.ctw;12;1.0
UNIFORM_BOOLEAN_3.ctw;12;1.0
UNIFORM_ALL_3.ctw;91;2.0
UNIFORM_ALL_3.ctw;91;2.0
UNIFORM_ALL_3.ctw;91;2.0
UNIFORM_ALL_3.ctw;91;2.0
UNIFORM_ALL_3.ctw;91;1.0
UNIFORM_ALL_3.ctw;91;2.0
UNIFORM_ALL_3.ctw;91;1.0
UNIFORM_ALL_3.ctw;91;2.0
UNIFORM_ALL_3.ctw;91;2.0
UNIFORM_ALL_3.ctw;91;1.0
ADD_BOOLC_3.ctw;1;34924.0
ADD_BOOLC_3.ctw;1;34315.0
ADD_BOOLC_3.ctw;1;35950.0
ADD_BOOLC_3.ctw;1;34529.0
ADD_BOOLC_3.ctw;1;34705.0
ADD_BOOLC_3.ctw;1;35205.0
ADD_BOOLC_3.ctw;1;34185.0
ADD_BOOLC_3.ctw;1;35340.0
ADD_BOOLC_3.ctw;1;35374.0
ADD_BOOLC_3.ctw;1;33878.0
UNIFORM_BOOLEAN_4.ctw;10;1.0
UNIFORM_BOOLEAN_4.ctw;10;1.0
UNIFORM_BOOLEAN_4.ctw;10;1.0
UNIFORM_BOOLEAN_4.ctw;10;1.0
UNIFORM_BOOLEAN_4.ctw;10;1.0
UNIFORM_BOOLEAN_4.ctw;10;1.0
UNIFORM_BOOLEAN_4.ctw;10;1.0
UNIFORM_BOOLEAN_4.ctw;10;1.0
UNIFORM_BOOLEAN_4.ctw;10;1.0
UNIFORM_BOOLEAN_4.ctw;10;1.0
ADD_NUMC_4.ctw;334;7241.0
ADD_NUMC_4.ctw;334;7122.0
ADD_NUMC_4.ctw;334;7022.0
ADD_NUMC_4.ctw;334;7293.0
ADD_NUMC_4.ctw;334;7220.0
ADD_NUMC_4.ctw;334;6607.0
ADD_NUMC_4.ctw;334;6494.0
ADD_NUMC_4.ctw;334;6684.0
ADD_NUMC_4.ctw;334;7291.0
ADD_NUMC_4.ctw;334;7099.0
ADD_BOOLC_4.ctw;-1;300000
ADD_BOOLC_4.ctw;-1;300000
ADD_BOOLC_4.ctw;-1;300000
ADD_BOOLC_4.ctw;-1;300000
ADD_BOOLC_4.ctw;-1;300000
ADD_BOOLC_4.ctw;-1;300000
ADD_BOOLC_4.ctw;-1;300000
ADD_BOOLC_4.ctw;-1;300000
ADD_BOOLC_4.ctw;-1;300000
ADD_BOOLC_4.ctw;-1;300000
UNIFORM_ALL_0.ctw;169;5.0
UNIFORM_ALL_0.ctw;169;5.0
UNIFORM_ALL_0.ctw;169;5.0
UNIFORM_ALL_0.ctw;169;4.0
UNIFORM_ALL_0.ctw;169;5.0
UNIFORM_ALL_0.ctw;169;4.0
UNIFORM_ALL_0.ctw;169;4.0
UNIFORM_ALL_0.ctw;169;4.0
UNIFORM_ALL_0.ctw;169;5.0
UNIFORM_ALL_0.ctw;169;5.0
ADD_MCAC_4.ctw;580;7071.0
ADD_MCAC_4.ctw;580;7617.0
ADD_MCAC_4.ctw;580;7560.0
ADD_MCAC_4.ctw;580;7851.0
ADD_MCAC_4.ctw;580;7704.0
ADD_MCAC_4.ctw;580;7673.0
ADD_MCAC_4.ctw;580;7309.0
ADD_MCAC_4.ctw;580;7358.0
ADD_MCAC_4.ctw;580;7468.0
