fileName;size;time;isSortingEnabled;orderingType;nThreads;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;1057;36040;false;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;994;34200;false;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;1013;35318;false;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;992;36788;false;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;878;31261;true;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;843;30363;true;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;893;31513;true;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;857;30336;true;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;872;30772;true;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;866;33116;true;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;840;30293;true;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;874;32250;true;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;866;31230;true;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;883;30870;true;AS_DECLARED;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;993;34618;false;IN_ORDER_SIZE_DESC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;987;33072;false;IN_ORDER_SIZE_DESC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;1010;34435;false;IN_ORDER_SIZE_DESC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;984;35006;false;IN_ORDER_SIZE_DESC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;1013;35474;false;IN_ORDER_SIZE_DESC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;965;33454;false;IN_ORDER_SIZE_DESC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;960;33876;false;IN_ORDER_SIZE_DESC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;986;35150;false;IN_ORDER_SIZE_DESC;32;;;;;;;
/home/XYZ/Documents/GitHub/KALI/./examples/UNIFORM_ALL_1.ctw;995;35231;false;IN_ORDER_SIZE_DESC;32;;;;;;;
